Date,Time,Auction Name,Contract,Auction Price eur/tCO2,Minimum Bid eur/tCO2,Maximum Bid eur/tCO2,Mean eur/tCO2,Median eur/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue eur,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
10/31/16,11:00,EU,T3PA,5.76,3.45,6.10,5.47,5.73,"3,664,000","10,878,500",64,16,4.27,"169,977","725,233","934,152","407,111","465,539",2.97,15,9,21104640,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/16,11:00,DE,T3PA,5.70,3.45,6.00,5.42,5.69,"3,495,000","6,896,500",58,26,3.41,"118,905","405,676","433,842","291,250","247,957",1.97,17,12,19921500,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/16,11:00,EU,T3PA,5.90,3.45,6.10,5.64,5.87,"3,664,000","9,881,000",82,26,4.82,"120,500","581,235","831,806","305,333","337,542",2.70,17,12,21617600,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/16,11:00,EU,T3PA,5.78,3.45,6.10,5.53,5.78,"3,664,000","8,648,000",70,36,4.38,"123,543","540,500","847,604","305,333","400,121",2.36,16,12,21177920,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/16,11:00,EU,T3PA,5.92,3.45,6.10,5.62,5.86,"3,664,000","8,681,000",73,20,3.48,"118,918","413,381","573,933","333,091","400,249",2.37,21,11,21690880,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/16,11:00,DE,T3PA,5.58,3.45,5.80,5.33,5.55,"3,495,000","7,800,000",68,21,3.40,"114,706","390,000","398,273","249,643","211,686",2.23,20,14,19502100,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/16,11:00,EU,T3PA,5.70,3.45,6.10,5.43,5.65,"3,664,000","9,947,500",65,20,3.42,"153,038","523,553","831,440","305,333","390,206",2.71,19,12,20884800,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/16,11:00,EU,T3PA,5.89,3.45,6.90,5.62,5.86,"3,664,000","9,728,500",72,24,3.79,"135,118","512,026","803,993","261,714","310,676",2.66,19,14,21580960,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/16,11:00,EU,T3PA,5.84,3.45,6.10,5.55,5.80,"3,664,000","10,020,500",66,20,3.67,"151,826","556,694","878,788","305,333","387,209",2.73,18,12,21397760,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/16,11:00,DE,T3PA,5.65,3.45,5.95,5.40,5.60,"3,495,000","9,072,500",73,25,4.29,"124,281","533,676","783,506","291,250","393,040",2.60,17,12,19746750,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
